Total.insertions	Probability
0	0.0311060279335397
1	0.036522722329748
2	0.072417670704774
3	0.112775645938234
4	0.143769154824151
5	0.138932207959899
6	0.111904309410915
7	0.089680425322
8	0.0691326633876055
9	0.0515522482883726
10	0.0389459984041506
11	0.0277990656802497
12	0.018942993322269
13	0.0130453486066506
14	0.00821046001766
15	0.0053892507260566
16	0.0039786460802549
17	0.00273064518010252
18	0.00205690307787622
19	0.00166102813593673
20	0.00166377250295191
21	0.00147646945416598
22	0.00140991855404791
23	0.00201505148089475
24	0.00182020142281708
25	0.00168847180608852
26	0.00226341669576839
27	0.00163495664929254
28	0.00120957976193988
29	0.0012452565331372
30	0.000804785627201068
31	0.000533093292698406
32	0.000460367566796178
33	0.000310799564468955
34	0.000246993031366057
35	0.000154370644603785
36	0.000103599854822985
37	9.12502032546821e-05
38	5.6945615564952e-05
39	4.11655052276761e-05
40	3.36184959359355e-05
41	3.01880371669625e-05
42	1.78383855986597e-05
43	1.78383855986597e-05
44	8.23310104553522e-06
45	9.60528455312443e-06
46	9.60528455312443e-06
47	6.17482578415142e-06
48	6.86091753794602e-06
49	5.48873403035682e-06
50	6.17482578415142e-06
51	4.80264227656221e-06
52	2.74436701517841e-06
53	4.11655052276761e-06
54	4.11655052276761e-06
55	8.23310104553522e-06
56	1.09774680607136e-05
57	7.54700929174062e-06
58	4.80264227656221e-06
59	4.80264227656221e-06
60	4.11655052276761e-06
61	1.3721835075892e-06
62	2.74436701517841e-06
63	2.74436701517841e-06
64	1.3721835075892e-06
