J.deletions	TRAJ10	TRAJ11	TRAJ12	TRAJ13	TRAJ14	TRAJ15	TRAJ16	TRAJ17	TRAJ18	TRAJ20	TRAJ21	TRAJ22	TRAJ23	TRAJ24	TRAJ26	TRAJ27	TRAJ28	TRAJ29	TRAJ3	TRAJ30	TRAJ31	TRAJ32	TRAJ33	TRAJ34	TRAJ36	TRAJ37	TRAJ38	TRAJ39	TRAJ4	TRAJ40	TRAJ41	TRAJ42	TRAJ43	TRAJ44	TRAJ45	TRAJ46	TRAJ47	TRAJ48	TRAJ49	TRAJ5	TRAJ50	TRAJ52	TRAJ53	TRAJ54	TRAJ56	TRAJ57	TRAJ6	TRAJ7	TRAJ8	TRAJ9
0	0.0794005102040816	0.0704797920113448	0.136760956658978	0.0288694201084689	0.0114285714285714	0.0881951014401346	0.084530853761623	0.0499153976311337	0.0853749575839837	0.0881044720524113	0.345317116218394	0.108377285748708	0.0241490683229814	5.37721137817928e-05	0.0590843023255814	0.0848022964340584	0.102762966553563	0.057620532747073	0.0895751709303219	0.156252942099482	0.15576694411415	0.000234984491023592	0.211169049621531	0.0730818909842418	0.133081548476867	0.0454020515839768	0.221461860657188	0.0130931695259538	0.0516142039869956	0.0516465632778097	0.0645335162681301	0.0620364406955727	0.174291890937969	0.0376466686015175	0.056165307498927	0.0555864369093941	0.151130830846553	0.0630226117817869	0.202564393081048	0.160766255295635	0.148015435501654	0.0784572421223915	0.0189438924774788	0.0867097876494996	0.0381889492878277	0.0542485070868408	0.0336904539261001	0.00347026067306916	0.146515163639273	0.0156058573012076
1	0.0198412698412698	0.082486409832191	0.112540973655457	0.0428313169239327	0.0285714285714286	0.0899470899470899	0.0373924717816121	0.0454277937173545	0.0901255514082117	0.0409737286093034	0.183209914438092	0.0258627613718508	0.0275031055900621	5.37721137817928e-05	0.0402979651162791	0.0609687070429368	0.0519470027468089	0.0510251035329005	0.034262886993931	0.128730582143418	0.0366673118933717	0.000234984491023592	0.194920100925147	0.0367605269956084	0.0923818516125826	0.0522859536695274	0.147483924252257	0.015760749859279	0.0554953501852365	0.0516944284893739	0.0275872206977656	0.0635738474643176	0.0606194299832348	0.0366930635598491	0.0648414985590778	0.0372429127292941	0.129378043034396	0.0388782835479795	0.0622970012840849	0.174102044575428	0.154079382579934	0.0570178331904039	0.0495611621238015	0.069319013912619	0.035849446088213	0.0432045470897187	0.0603809880039542	0.0171091921555968	0.150956229495079	0.0198646520039671
2	0.0637755102040816	0.0428267549042779	0.0785480150540245	0.0368794326241135	0.04	0.154104909071796	0.0678733031674208	0.0279187817258883	0.0925008483203257	0.0832183001380398	0.110271265779074	0.0470134668415839	0.0194782608695652	0.000107544227563586	0.081359011627907	0.047202231745775	0.0625302956858943	0.0481619714709341	0.0475531996619805	0.0316648360269889	0.0619694162541825	9.3993796409437e-05	0.0780151387720774	0.0439421338155515	0.0745415693485067	0.0141301148071828	0.10913810394667	0.0119674016788625	0.0850323848887321	0.0864206394792265	0.0427283418267346	0.0353395799139883	0.0797670519721168	0.0687010240888926	0.0475504322766571	0.0266814897165092	0.0341997801162243	0.0428306401742263	0.0851650426769393	0.0739362681893535	0.0775450202131569	0.0744112408470216	0.0631752744547114	0.0785330729802294	0.0767907520814698	0.0680984243470753	0.0947928077159422	0.0775562908562666	0.0427302552612627	0.0589522198238142
3	0.0711805555555556	0.0788938785157173	0.0759985431589171	0.0888610763454318	0.04	0.0956585724797645	0.0764755606384566	0.0662841168248363	0.0690872073294876	0.0796467933127369	0.111614165675479	0.0727423629889427	0.071527950310559	5.37721137817928e-05	0.0542151162790698	0.0654362416107383	0.102359024074972	0.0935119382381512	0.129100407159868	0.0587792248548564	0.0829024140696292	0.000187987592818874	0.0580656013456686	0.0860501162490313	0.149629776872236	0.0615475193043636	0.0965724736003776	0.0389613567949879	0.12139922881121	0.084888952709171	0.0582124656997256	0.0654228907402406	0.0505382511250331	0.115344748953108	0.0832362499233552	0.0583657587548638	0.0252081042877336	0.104401365848412	0.123536520885263	0.0921716706575797	0.130466740169055	0.0685841194449942	0.0670277785823944	0.104070051257017	0.13651689258928	0.115619828764659	0.0990141334259531	0.175046404648535	0.0877810674561895	0.0934309550201272
4	0.153840702947846	0.120113448357362	0.283841204321962	0.124683632318176	0.0171428571428571	0.133711762850836	0.070359504748645	0.0898992128301332	0.154937224295894	0.126843270010298	0.0662625177454629	0.12738614762657	0.1	0.000107544227563586	0.0541424418604651	0.0686504406889302	0.101833898852803	0.166930824684289	0.134209111162326	0.0946493017417229	0.123026297596991	0.000469968982047185	0.0846089150546678	0.0657711185740119	0.122347562490682	0.0265618985077331	0.205533596837945	0.0634590440762585	0.10222031805237	0.11200459506031	0.0701195609564877	0.0909355327945484	0.0652519191740934	0.145155271777437	0.0756944018640015	0.140633685380767	0.0732684152662164	0.0585056327803619	0.136566205906791	0.110664947504144	0.14773980154355	0.0996327814059854	0.085537178113142	0.123047351720771	0.192871396132939	0.127778976904813	0.08995698522536	0.128076829957227	0.0923421621189085	0.133393617641911
5	0.0951672335600907	0.130654691562278	0.0413378657278135	0.143512724238632	0.0285714285714286	0.126038053190371	0.0989010989010989	0.0907084528801589	0.151204614862572	0.109643068428318	0.0672984690941181	0.101657251479211	0.0773416149068323	5.37721137817928e-05	0.14890988372093	0.041905878547748	0.117264501534981	0.136612301242395	0.0952984558654068	0.117558449709713	0.0618311533888228	0.000328978287433029	0.144592094196804	0.0908034099715836	0.123440838841127	0.0374538620049365	0.0418854344876409	0.128851472063826	0.10554701479372	0.165996553704767	0.0808506468051744	0.0973136933081254	0.0973043324803671	0.186865127078237	0.127598258630204	0.0622568093385214	0.0456651484215486	0.0772188315005512	0.100913966311655	0.114754098360656	0.101892686512312	0.155023418431295	0.167743243634678	0.112490846961191	0.139131631459437	0.133678681919563	0.155173795719896	0.0836897748365749	0.105585340481716	0.106499037395718
6	0.107638888888889	0.0709997636492555	0.0228238436323904	0.0947851481017939	0.0685714285714286	0.0499316724482287	0.0721992939187509	0.096777753255352	0.0994231421784866	0.10041850172002	0.0183018071595749	0.0762496318706326	0.0860124223602484	5.37721137817928e-05	0.0832848837209302	0.0458882509905393	0.0957343674260785	0.0888082212792065	0.129522931551049	0.081625608033893	0.0945164947598374	0.000469968982047185	0.0504962153069807	0.152079566003617	0.0848283059186006	0.0157605126695501	0.0579906790159873	0.114412275764176	0.105496610297639	0.0807725445146468	0.0748725989807918	0.0568424989092722	0.0581487690814436	0.14851361996766	0.0804770372187136	0.0956086714841579	0.0438196953039108	0.0946414647917619	0.0860714555480021	0.0942715048811936	0.0581587651598677	0.0540932779207072	0.0757755699099151	0.0677019770563827	0.102800522947774	0.0833153464278006	0.111330786288707	0.0797352917440077	0.0596543170360887	0.175223149174494
7	0.118161848072562	0.104608839517844	0.0523855772732791	0.0557363370880267	0.0114285714285714	0.0637723816531763	0.092337526726667	0.169020819539469	0.0321683067526298	0.144985648239444	0.0188389671181368	0.0475489277395518	0.0794037267080745	5.37721137817928e-05	0.153670058139535	0.022782404786933	0.0441509129100016	0.0834398486630196	0.150649151110087	0.0472932684763848	0.0778972983436109	0.0012689162515274	0.0325315391084945	0.0979850167915267	0.107886498037072	0.0707637961096895	0.0252492478319863	0.105969016910991	0.0522442601880088	0.101210989852575	0.115738925911407	0.0542870795504124	0.0841789464396012	0.103735644098014	0.0765528235943344	0.141745414118955	0.0327077116381341	0.133681069018364	0.0655072135357655	0.064394916190827	0.0254502021315693	0.0538513974096796	0.0413926947252556	0.182175982426165	0.130668134590243	0.14475861572775	0.148948676160197	0.284722782664837	0.0771385132431784	0.0897847266787235
8	0.138499149659864	0.134909004963366	0.0721136336044677	0.154053678208872	0.0171428571428571	0.0235467255334805	0.108000596688379	0.185426322371809	0.0632507634882932	0.0728762681040338	0.0102827763496144	0.212577976493267	0.123155279503106	0.000107544227563586	0.0682049418604651	0.0253092908546939	0.148570043625788	0.118462089063858	0.0356072827840516	0.0925152989173074	0.0640710118076487	0.00502866810790488	0.0211606391925988	0.103849134590545	0.0213188888336729	0.480854147324562	0.00424753701846499	0.160397444996451	0.139595251896469	0.072683323760291	0.120491963935711	0.14362287827478	0.0647886702550075	0.0398441063062316	0.123888650438408	0.141189549749861	0.0789225694989791	0.0840211867824591	0.0254550947956794	0.00976238717995948	0.0135979419331128	0.104910174373859	0.140370187990615	0.0559860873810105	0.0118351338333448	0.0546801928196273	0.0382591039033904	0.021386490194496	0.111106665599744	0.108249226999592
9	0.0358205782312925	0.027416686362562	0.0251305086803448	0.0493950771798081	0.00571428571428571	0.0233364869126459	0.0489781711501169	0.0392849260648863	0.0206311503223617	0.0154692258813734	0.00821087365230403	0.0221145350860753	0.0361242236024845	5.37721137817928e-05	0.0553415697674419	0.0226004689900542	0.0403942478591049	0.0247967687509586	0.0248905277713759	0.02946806841362	0.0568536902358764	0.00526365259892847	0.0235492010092515	0.0716352363730302	0.0106345972270536	0.0267430538257739	0.0113267653825733	0.0651476958468956	0.0240177423826205	0.0927149147999234	0.0920227361818895	0.04940477427129	0.0662666549016147	0.0124797877192255	0.049205959899442	0.085047248471373	0.00553635935291346	0.0329631919984943	0.0150313467784576	0.00751519616872352	0.0197537669974274	0.0251335840094993	0.0397126553312285	0.0162008786917257	0.0101837198100874	0.0268724368659616	0.024927195490128	0.0151723024776047	0.0416900056013443	0.0740038504171285
