V.deletions	TRAV1-1	TRAV1-2	TRAV10	TRAV11	TRAV12-1	TRAV12-2	TRAV12-3	TRAV13-1	TRAV13-2	TRAV14/DV4	TRAV16	TRAV17	TRAV18	TRAV19	TRAV2	TRAV20	TRAV21	TRAV22	TRAV23/DV6	TRAV24	TRAV25	TRAV26-1	TRAV26-2	TRAV27	TRAV29/DV5	TRAV3	TRAV30	TRAV34	TRAV35	TRAV36/DV7	TRAV38-1	TRAV38-2/DV8	TRAV39	TRAV4	TRAV40	TRAV41	TRAV5	TRAV6	TRAV7	TRAV8-1	TRAV8-2	TRAV8-3	TRAV8-4	TRAV8-6	TRAV8-7	TRAV9-1	TRAV9-2
0	0.167805411314567	0.2181674814698	0.401961868938304	0.0111111111111111	0.168311341323553	0.10675187261013	0.261975799767943	0.255901079276341	0.15362003077934	0.246840792865897	0.151690780969854	0.238739710269959	0.00485436893203883	0.200348546626332	0.224352575572088	0.396522680784502	0.161744710937075	0.107627842011329	0.308370702541106	0.18929473926028	0.604724319377717	0.1840725853842	0.239165600328352	0.565663756603844	0.406183484252679	0.181683784624961	0.174300867888139	0.148987854251012	0.329932811440547	0.109957238851558	0.108036380725956	0.200612508059317	0.171539320675383	0.122278481012658	0.214538588624026	0.164592732140201	0.157852221430268	0.0928048780487805	0.0631578947368421	0.19779222020453	0.25609756097561	0.258842674580003	0.277666799840192	0.280677092485211	0.0181818181818182	0.154377880184332	0.203221377040605
1	0.0634053019950806	0.0814382589496925	0.162886750009219	0.0166666666666667	0.231413916090085	0.150594520978472	0.0955577656224101	0.140470921655408	0.118102747661289	0.100862178268036	0.0429887837218029	0.134692116898523	0.00485436893203883	0.0899973694594239	0.0805725586213391	0.0844062086391529	0.09959482242889	0.0757352370606037	0.159118086696562	0.200398192817214	0.143045069778083	0.0834684907035235	0.0335353340254473	0.111581550451497	0.115263898409034	0.252023031434796	0.209498553519769	0.16536212325686	0.0829994452320779	0.0560258312243651	0.107234677798358	0.0944390715667311	0.160567636817555	0.153924050632911	0.0852017937219731	0.136086460760498	0.0885245901639344	0.128536585365854	0.0315789473684211	0.0918474624868584	0.100975609756098	0.112477863399225	0.158449860167799	0.131142739998829	0.0181818181818182	0.0622119815668203	0.0866589655848826
2	0.058485925116152	0.0646901119697209	0.111885533060442	0.0111111111111111	0.0730840485462588	0.115167705550608	0.120234543344936	0.08737091389083	0.124051114454185	0.128523731034191	0.0731351373889839	0.0693770444660124	0.00647249190938511	0.106372484545574	0.0718146718146718	0.0667188064011551	0.152363082612716	0.113059672538217	0.10949177877429	0.153993414503408	0.0986616334934798	0.0448252356439367	0.0940872546415896	0.179174940986923	0.0964861647245572	0.0704170557111734	0.0925747348119576	0.0357174988753936	0.242464402391666	0.0820315908892573	0.0636939153512288	0.0973565441650548	0.0706918073713948	0.0884950773558369	0.0542836912910078	0.122601754994795	0.153955808980756	0.0982520325203252	0.0315789473684211	0.0973430182548026	0.0726132404181185	0.0921361221461734	0.102277267279265	0.100802436595795	0.0181818181818182	0.0967741935483871	0.077145223513001
3	0.0979775895053293	0.100299637281186	0.133311206991924	0.577777777777778	0.179565705067614	0.194943516141987	0.175534559920438	0.135802469135802	0.215922256229358	0.0853936858120959	0.137764249676854	0.240231496459254	0.029126213592233	0.0698737340523478	0.0938318109049816	0.16390927686199	0.191901887202915	0.211375805074882	0.103139013452915	0.222834826556398	0.0430679478380233	0.121665138800743	0.0780318211448852	0.0532429090636592	0.11472275334608	0.148615001556178	0.174863387978142	0.0823211875843455	0.100228071256858	0.159001658085348	0.0612611616398972	0.063394584139265	0.138558570396163	0.130042194092827	0.108095350483833	0.271429279658916	0.248990258968876	0.191382113821138	0.0842105263157895	0.103029723788588	0.0953310104529617	0.163116833389173	0.153655613264083	0.144380015228724	0.0181818181818182	0.0875576036866359	0.147097927246573
4	0.0815796665755671	0.100425800346948	0.0773315632260206	0.316666666666667	0.110842249864519	0.128786688317357	0.109895574341124	0.110975230996195	0.12145734986426	0.120493639322091	0.149897844306384	0.0941263165462454	0.0113268608414239	0.109364724450875	0.146981825030606	0.0891890265912646	0.150078860064176	0.124156126328859	0.0998505231689088	0.199555861857723	0.109757492564631	0.123404555391016	0.125763538472682	0.0293379294840571	0.0806306143800281	0.0881574852163087	0.063404050144648	0.0362573099415205	0.187758121185971	0.107426477004974	0.094600945456556	0.0895873629916183	0.0521647723539846	0.0779184247538678	0.0771772480528676	0.0678697139457637	0.140460917082442	0.0736991869918699	0.0421052631578947	0.255949536461818	0.0927526132404181	0.189776480160819	0.162445065920895	0.179757511860833	0.0181818181818182	0.124423963133641	0.16685556112552
5	0.108317390908263	0.0981864059296641	0.0419662942065863	0.00555555555555556	0.0772303930835444	0.106577270266967	0.0617437427482181	0.15132191940368	0.0486244401791427	0.0460462364228055	0.123504148772047	0.0903878644092167	0.0194174757281553	0.0548138892542417	0.0806102269516904	0.0697569486223078	0.128745853048349	0.139210056646233	0.137369207772795	0.0330806340454859	0.000114390299702585	0.107843828596949	0.0805668895917333	0.0605492899696504	0.11383888307659	0.0995953937130408	0.154130504660881	0.0917678812415655	0.0265363989397769	0.152456584344184	0.0720426837696625	0.0528852353320438	0.0602457131594508	0.111870604781997	0.127920698607505	0.150860145753805	0.0535994297933001	0.199471544715447	0.157894736842105	0.0737360221733728	0.0450174216027875	0.0347484803522711	0.0456252497003596	0.0503133602764599	0.0181818181818182	0.0599078341013825	0.113554630457052
6	0.0839938052291154	0.0984071912947485	0.0329682487000774	0.00555555555555556	0.0707147088106671	0.106874094250345	0.0516326868887784	0.0388034785309418	0.0487108989988069	0.097079582435231	0.151857565775758	0.0223408461842626	0.13915857605178	0.0947981060107852	0.143685846124871	0.0670797737937673	0.0684722902050362	0.145185070225809	0.0290358744394619	7.6575541771958e-05	5.71951498512926e-05	0.0644054250993113	0.0815567734614549	7.49372400614485e-05	0.0260831920343447	0.0359477124183007	0.0159112825458052	0.0325686009896536	0.0118966898847316	0.132734095470809	0.065629060348879	0.0784655061250806	0.0894816372117469	0.146919831223629	0.112107623318386	0.0434286847454266	0.0784984556901877	0.110772357723577	0.136842105263158	0.0647041957373602	0.0234843205574913	0.0444646532331403	0.0306032760687175	0.0376032331751889	0.0181818181818182	0.0529953917050691	0.0988862492099126
7	0.0812608180741551	0.0923198233717079	0.02338016742265	0.00555555555555556	0.0384513592196302	0.0689330050809282	0.075957235206365	0.0368332168646634	0.0103058913039719	0.0432990997844554	0.0849768586081808	0.0670405118803695	0.0339805825242718	0.098184927002499	0.0648648648648649	0.0339610155215979	0.0469353347473759	0.0485760844261659	0.0271300448430493	7.6575541771958e-05	5.71951498512926e-05	0.0960910137978046	0.0914797556676887	3.74686200307243e-05	0.0220606803997258	0.0271553065670713	0.0766634522661524	0.0373369320737742	0.0179066757073291	0.0865695086831312	0.093412213529428	0.119245647969052	0.249260889560476	0.0305485232067511	0.0920462591456219	0.0426850428833474	0.0160608220479924	0.0360162601626016	0.0947368421052632	0.0622670362228806	0.030801393728223	0.0564782463025894	0.0262884538553736	0.0347332044749019	0.127272727272727	0.0737327188940092	0.0516008805387851
8	0.104901156964562	0.0762971140198707	0.0129070324888446	0.00555555555555556	0.0474246033246374	0.0211094232884605	0.0471780208851318	0.0422393042938116	0.159049644654251	0.0382274629136554	0.0236834424383939	0.0428484129551745	0.453074433656958	0.0615875312376693	0.0419813541764761	0.0282156178558537	2.71931255778539e-05	0.0344533250562582	0.0260837070254111	7.6575541771958e-05	5.71951498512926e-05	0.0401006040946807	0.116130278374659	3.74686200307243e-05	0.0244056423391897	0.0228758169934641	0.0379299260687882	0.367881241565452	3.08204401158849e-05	0.113011606597434	0.158571310093163	0.0324629271437782	0.00689836410222719	0.0452320675105485	0.0351663913146094	4.95761241386148e-05	0.0615823235923022	0.068739837398374	0.273684210526316	0.044155595909395	0.0970034843205575	0.0226870243622266	0.0170994806232521	0.018040180401804	0.0727272727272727	0.165898617511521	0.0234737690983196
9	0.148446752300264	0.069295063870052	0.00114319430615481	0.00555555555555556	0.00287345457295172	0.000104761405898067	8.28775070445881e-05	0.000184408727385667	3.45835278656776e-05	0.0321837623092853	0.0599174415210774	3.5946655163737e-05	0.281553398058252	0.0511968959621202	0.0509275826348997	3.00806160510167e-05	1.3596562788927e-05	7.75975789555366e-05	7.47384155455904e-05	7.6575541771958e-05	5.71951498512926e-05	0.0973603177961122	0.0385571839011082	3.74686200307243e-05	0.000126267181355749	0.0248988484282602	8.03600128576021e-05	0.00107962213225371	3.08204401158849e-05	0.000174535299764377	0.0460288060155365	0.083043197936815	6.5698705735497e-05	0.0422503516174402	0.0911021949492565	4.95761241386148e-05	0.000142551674982181	4.0650406504065e-05	0.0105263157894737	0.00874510178725031	0.173728222996516	0.0249365816302111	0.0253296044746304	0.0220816493879224	0.0545454545454545	0.105990783410138	0.0313964386129335
