VJgenes	TRAJ10	TRAJ11	TRAJ12	TRAJ13	TRAJ14	TRAJ15	TRAJ16	TRAJ17	TRAJ18	TRAJ20	TRAJ21	TRAJ22	TRAJ23	TRAJ24	TRAJ26	TRAJ27	TRAJ28	TRAJ29	TRAJ3	TRAJ30	TRAJ31	TRAJ32	TRAJ33	TRAJ34	TRAJ36	TRAJ37	TRAJ38	TRAJ39	TRAJ4	TRAJ40	TRAJ41	TRAJ42	TRAJ43	TRAJ44	TRAJ45	TRAJ46	TRAJ47	TRAJ48	TRAJ49	TRAJ5	TRAJ50	TRAJ52	TRAJ53	TRAJ54	TRAJ56	TRAJ57	TRAJ6	TRAJ7	TRAJ8	TRAJ9
TRAV1-1	0.0011862228686823	0.000656659088020561	0.000699024190473501	0.00155338708994111	0	0.0014898394362617	0.000882606301102905	0.000924971403555844	0.000409529323711748	0.000840241198649965	0.000776693544970556	0.00157456964116758	0.00294437462047929	0.00108031011254996	0.000882606301102905	0.00172284749975287	0.000296555717170576	0.00072020674169997	0.000607233135158799	0.00162399559402934	0.00233714148532049	0.00142629178258229	0.00104500586050584	0.000875545450694082	0.000543685481479389	0.000917910553147021	0.000494259528617627	0.000635476536794091	0.00102382330927937	0.000303616567579399	0.000275373165944106	0.000684902489655854	0.000303616567579399	0.000317738268397046	0.000430711874938218	7.06085040882324e-06	8.47302049058789e-05	7.76693544970556e-05	0.000120034456949995	0.00116504031745583	0	8.47302049058789e-05	8.47302049058789e-05	4.94259528617627e-05	2.11825512264697e-05	2.8243401635293e-05	0.00129213562481465	0.000317738268397046	0.00098145820682643	0.000932032253964668
TRAV1-2	0.000649598237611738	0.000190642961038227	0.000197703811447051	0.000508381229435273	0	0.000586050583932329	0.000656659088020561	0.000656659088020561	0.000211825512264697	0.00137686582972053	0.000183582110629404	0.000388346772485278	0.000670780788838208	0.000388346772485278	0.00026125146512646	0.000578989733523506	0.000374225071667632	0.000233008063491167	0.000134156157767642	0.000367164221258808	0.000628415686385268	0.000466016126982334	0.00078375439537938	0.00072020674169997	0.000473076977391157	0.000571928883114682	0.000416590174120571	0.000600172284749975	0.00072020674169997	0.000416590174120571	0.000141217008176465	0.000324799118805869	0.00028243401635293	0.000105912756132349	0.000183582110629404	7.06085040882324e-06	0.000112973606541172	5.64868032705859e-05	5.64868032705859e-05	0.000183582110629404	2.11825512264697e-05	2.11825512264697e-05	7.06085040882324e-06	0	0	7.06085040882324e-06	0.000797876096197026	0.00024006891389999	0.000303616567579399	0.000317738268397046
TRAV10	0.00218180277632638	0.000416590174120571	0.000663719938429384	0.000903788852329375	0	0.00152514368830582	0.00110149266377643	0.00138392668012935	0.000649598237611738	0.00217474192591756	0.00021888636267352	0.000345981670032339	0.000614293985567622	0.000578989733523506	0.000402468473302925	0.00139098753053818	0.000677841639247031	0.000430711874938218	0.00127095307358818	0.000360103370849985	0.000910849702738198	0.000444833575755864	0.000826119497832319	0.0010944318133676	0.000699024190473501	0.000889667151511728	0.00132037902644995	0.0017016649485264	0.0035233643540028	0.00122858797113524	0.000508381229435273	0.00265487975371754	0.00216768107550873	0.000861423749876435	0.00166636069648228	4.94259528617627e-05	0.00072020674169997	0.00139098753053818	0.000656659088020561	0.000416590174120571	0.000254190614717637	0.000324799118805869	0.000233008063491167	0.000134156157767642	4.23651024529394e-05	8.47302049058789e-05	0.00276785336025871	0.000819058647423496	0.000790815245788203	0.000684902489655854
TRAV11	0	0	0	0	0	0	0	7.06085040882324e-06	7.06085040882324e-06	0	0	0	0	0	0	0	7.06085040882324e-06	0	7.06085040882324e-06	0	0	0	0	0	0	7.06085040882324e-06	0	0	0	0	0	7.06085040882324e-06	1.41217008176465e-05	0	7.06085040882324e-06	0	7.06085040882324e-06	7.06085040882324e-06	7.06085040882324e-06	0	7.06085040882324e-06	7.06085040882324e-06	0	0	0	0	0	0	0	0
TRAV12-1	0.0011862228686823	0.000451894426164687	0.00045895527657351	0.00129919647522348	2.11825512264697e-05	0.000713145891291147	0.000748450143335263	0.000833180348241142	0.000444833575755864	0.000819058647423496	0.000586050583932329	0.00114385776622936	0.00134862242808524	0.00048013782779998	0.000656659088020561	0.000748450143335263	0.000416590174120571	0.000374225071667632	0.00194173386242639	0.000713145891291147	0.000494259528617627	0.000437772725347041	0.000353042520441162	0.000515442079844096	0.000360103370849985	0.00141923093217347	0.000677841639247031	0.000826119497832319	0.00214649852428226	0.000713145891291147	0.000324799118805869	0.00117916201827348	0.00110149266377643	0.000578989733523506	0.00122858797113524	7.76693544970556e-05	0.000395407622894101	0.00048013782779998	0.000932032253964668	0.00145453518421759	9.17910553147021e-05	0.000409529323711748	0.000303616567579399	5.64868032705859e-05	7.76693544970556e-05	0.000112973606541172	0.00159575219239405	0.000529563780661743	0.000642537387202915	0.00122152712072642
TRAV12-2	0.000367164221258808	0.000155338708994111	0.000162399559402934	0.000586050583932329	7.06085040882324e-06	0.000345981670032339	0.000204764661855874	0.000324799118805869	0.00024006891389999	0.000409529323711748	0.000289494866761753	0.00052250293025292	0.000444833575755864	0.000148277858585288	0.000190642961038227	0.00026125146512646	0.000190642961038227	0.000176521260220581	0.000946153954782314	0.000310677417988223	0.000183582110629404	0.000141217008176465	0.000169460409811758	0.000225947213082344	0.000127095307358818	0.000374225071667632	0.00026125146512646	0.000331859969214692	0.000699024190473501	0.000247129764308813	0.000148277858585288	0.000338920819623515	0.000360103370849985	0.000211825512264697	0.000310677417988223	7.06085040882324e-06	0.000204764661855874	0.000451894426164687	0.000529563780661743	0.000225947213082344	0.000127095307358818	0.000345981670032339	0.00026125146512646	8.47302049058789e-05	5.64868032705859e-05	0.000148277858585288	0.000564868032705859	0.00026125146512646	0.000197703811447051	0.000317738268397046
TRAV12-3	0.000564868032705859	0.000225947213082344	0.00021888636267352	0.00052250293025292	0	0.000508381229435273	0.000338920819623515	0.000578989733523506	0.000275373165944106	0.000557807182297036	0.000331859969214692	0.00050132037902645	0.000444833575755864	0.000211825512264697	0.000360103370849985	0.000656659088020561	0.00026125146512646	0.00021888636267352	0.00115091861663819	0.000296555717170576	0.000367164221258808	0.00024006891389999	0.00024006891389999	0.000374225071667632	0.00024006891389999	0.00052250293025292	0.00021888636267352	0.000360103370849985	0.00111561436459407	0.000367164221258808	9.88519057235253e-05	0.000416590174120571	0.000515442079844096	0.000183582110629404	0.000536624631070566	2.11825512264697e-05	0.00026125146512646	0.000621354835976445	0.000670780788838208	0.000677841639247031	9.88519057235253e-05	0.00045895527657351	0.000550746331888213	0.000416590174120571	0.000148277858585288	0.000409529323711748	0.000635476536794091	0.000317738268397046	0.00052250293025292	0.000381285922076455
TRAV13-1	0.00250660189513225	0.00131331817604112	0.000854362899467612	0.00228771553245873	2.11825512264697e-05	0.00211119427223815	0.00190642961038227	0.00230183723327638	0.00116504031745583	0.00261957550167342	0.00192761216160874	0.00237244573736461	0.00213943767387344	0.000960275655599961	0.00134862242808524	0.00172990835016169	0.000910849702738198	0.000776693544970556	0.00409529323711748	0.00132743987685877	0.00110855351418525	0.000699024190473501	0.000924971403555844	0.0011862228686823	0.000826119497832319	0.00257721039922048	0.00117916201827348	0.00196997726406168	0.00497083868781156	0.00159575219239405	0.000819058647423496	0.00245717594227049	0.00293025291966164	0.00122858797113524	0.00302204397497635	7.06085040882324e-05	0.00166636069648228	0.00298673972293223	0.00355160775563809	0.00325505203846751	0.000755510993744087	0.00229477638286755	0.0018216994054764	0.000868484600285258	0.00048013782779998	0.000571928883114682	0.00315620013274399	0.00143335263299112	0.00190642961038227	0.00180757770465875
TRAV13-2	0.00146865688503523	0.000953214805191137	0.000854362899467612	0.00147571773544406	0	0.00147571773544406	0.0022171070283705	0.00204058576814992	0.000508381229435273	0.00260545380085578	0.00107324926214113	0.00173696920057052	0.00237950658777343	0.000649598237611738	0.0010026407580529	0.00156044794034994	0.000621354835976445	0.00076257184415291	0.00176521260220581	0.00133450072726759	0.000875545450694082	0.000706085040882324	0.000578989733523506	0.00141217008176465	0.000656659088020561	0.00215355937469109	0.000769632694561733	0.00176521260220581	0.00256308869840284	0.000790815245788203	0.00048013782779998	0.00161693474362052	0.00160281304280288	0.000699024190473501	0.00233714148532049	2.8243401635293e-05	0.000607233135158799	0.00142629178258229	0.00253484529676754	0.00162399559402934	0.000402468473302925	0.00117916201827348	0.00146865688503523	0.000684902489655854	0.000444833575755864	0.00052250293025292	0.00205470746896756	0.000550746331888213	0.000953214805191137	0.000924971403555844
TRAV14/DV4	0.000345981670032339	0.000303616567579399	0.000155338708994111	0.000444833575755864	0	0.000466016126982334	0.000331859969214692	0.000338920819623515	0.000296555717170576	0.00072020674169997	0.000423651024529394	0.000854362899467612	0.00078375439537938	0.000247129764308813	0.000317738268397046	0.000677841639247031	0.000367164221258808	0.000508381229435273	0.000840241198649965	0.000367164221258808	0.000296555717170576	0.000275373165944106	0.000254190614717637	0.000324799118805869	0.00028243401635293	0.000494259528617627	0.00026125146512646	0.000367164221258808	0.000932032253964668	0.000233008063491167	0.000148277858585288	0.000543685481479389	0.000550746331888213	0.000331859969214692	0.000635476536794091	2.11825512264697e-05	0.000169460409811758	0.000614293985567622	0.00107324926214113	0.000684902489655854	0.000127095307358818	0.000557807182297036	0.000833180348241142	0.000225947213082344	0.000289494866761753	0.000423651024529394	0.00048013782779998	0.000317738268397046	0.000360103370849985	0.000402468473302925
TRAV16	0.000310677417988223	0.000275373165944106	0.000105912756132349	0.000345981670032339	7.06085040882324e-06	0.000367164221258808	0.000423651024529394	0.000367164221258808	0.000141217008176465	0.000699024190473501	0.000345981670032339	0.000451894426164687	0.00045895527657351	0.000162399559402934	0.000303616567579399	0.000755510993744087	0.000324799118805869	0.000176521260220581	0.000317738268397046	0.000423651024529394	0.000197703811447051	0.00028243401635293	0.000303616567579399	0.000317738268397046	0.000204764661855874	0.000670780788838208	0.000374225071667632	0.000423651024529394	0.000847302049058789	0.00026125146512646	0.000127095307358818	0.000536624631070566	0.000451894426164687	0.000134156157767642	0.000374225071667632	7.06085040882324e-06	0.000176521260220581	0.000360103370849985	0.00050132037902645	0.000310677417988223	8.47302049058789e-05	0.000487198678208803	0.000663719938429384	0.000451894426164687	0.00026125146512646	0.000550746331888213	0.00050132037902645	0.000183582110629404	0.000211825512264697	0.000254190614717637
TRAV17	0.000409529323711748	0.000225947213082344	0.000169460409811758	0.000494259528617627	0	0.000338920819623515	0.000430711874938218	0.000578989733523506	0.00024006891389999	0.000607233135158799	0.00024006891389999	0.000578989733523506	0.000748450143335263	0.000225947213082344	0.00026125146512646	0.000755510993744087	0.000317738268397046	0.000233008063491167	0.000571928883114682	0.000550746331888213	0.000388346772485278	0.000275373165944106	0.000183582110629404	0.000381285922076455	0.000331859969214692	0.000621354835976445	0.000162399559402934	0.000423651024529394	0.000642537387202915	0.000437772725347041	0.000148277858585288	0.000494259528617627	0.000586050583932329	0.000183582110629404	0.000437772725347041	7.06085040882324e-06	0.000225947213082344	0.000529563780661743	0.000557807182297036	0.000437772725347041	9.17910553147021e-05	0.000494259528617627	0.000578989733523506	0.000529563780661743	0.000211825512264697	0.000543685481479389	0.000388346772485278	0.000289494866761753	0.000197703811447051	0.000374225071667632
TRAV18	7.06085040882324e-06	0	0	1.41217008176465e-05	0	0	1.41217008176465e-05	7.06085040882324e-06	0	2.11825512264697e-05	1.41217008176465e-05	3.53042520441162e-05	1.41217008176465e-05	0	1.41217008176465e-05	7.06085040882324e-06	7.06085040882324e-06	0	1.41217008176465e-05	7.06085040882324e-06	1.41217008176465e-05	2.11825512264697e-05	7.06085040882324e-06	7.06085040882324e-06	7.06085040882324e-06	3.53042520441162e-05	7.06085040882324e-06	0	2.11825512264697e-05	2.8243401635293e-05	7.06085040882324e-06	2.8243401635293e-05	1.41217008176465e-05	1.41217008176465e-05	7.06085040882324e-06	0	1.41217008176465e-05	7.06085040882324e-06	2.11825512264697e-05	7.06085040882324e-06	0	1.41217008176465e-05	0	7.06085040882324e-06	0	7.06085040882324e-06	0	7.06085040882324e-06	0	7.06085040882324e-06
TRAV19	0.00028243401635293	0.000141217008176465	7.76693544970556e-05	0.000310677417988223	0	0.000233008063491167	0.000247129764308813	0.000381285922076455	0.000225947213082344	0.000430711874938218	0.000275373165944106	0.000423651024529394	0.000515442079844096	0.000190642961038227	0.00021888636267352	0.000466016126982334	0.000176521260220581	0.00026125146512646	0.000409529323711748	0.000388346772485278	0.000268312315535283	0.000233008063491167	0.000155338708994111	0.000374225071667632	0.000289494866761753	0.000494259528617627	0.000310677417988223	0.000586050583932329	0.000367164221258808	0.000268312315535283	0.00021888636267352	0.000345981670032339	0.000374225071667632	0.000197703811447051	0.000367164221258808	7.06085040882324e-06	0.000155338708994111	0.00026125146512646	0.000536624631070566	0.000381285922076455	9.17910553147021e-05	0.00028243401635293	0.000367164221258808	0.000204764661855874	0.000134156157767642	0.000338920819623515	0.000247129764308813	0.00021888636267352	0.000176521260220581	0.000204764661855874
TRAV2	0.000953214805191137	0.000677841639247031	0.000473076977391157	0.00135568327849406	7.06085040882324e-06	0.000960275655599961	0.00111561436459407	0.00124270967195289	0.000345981670032339	0.00192055131119992	0.001398048380947	0.00190642961038227	0.0018216994054764	0.000699024190473501	0.00114385776622936	0.00117210116786466	0.000529563780661743	0.000706085040882324	0.00116504031745583	0.00139098753053818	0.00142629178258229	0.00100970160846172	0.000861423749876435	0.00103088415968819	0.000628415686385268	0.00226653298123226	0.00078375439537938	0.00116504031745583	0.00190642961038227	0.000677841639247031	0.000345981670032339	0.00105912756132349	0.000670780788838208	0.000402468473302925	0.000656659088020561	7.06085040882324e-06	0.000324799118805869	0.000254190614717637	0.000211825512264697	0.00108031011254996	4.94259528617627e-05	2.11825512264697e-05	0.000183582110629404	2.8243401635293e-05	3.53042520441162e-05	3.53042520441162e-05	0.00180757770465875	0.000388346772485278	0.00113679691582054	0.000819058647423496
TRAV20	0.000296555717170576	0.000112973606541172	7.06085040882324e-05	0.00048013782779998	0	0.000141217008176465	0.000197703811447051	0.00026125146512646	9.17910553147021e-05	0.000571928883114682	0.000367164221258808	0.000360103370849985	0.000268312315535283	0.000141217008176465	0.000148277858585288	0.000444833575755864	0.000127095307358818	6.35476536794092e-05	0.000423651024529394	0.00028243401635293	0.000254190614717637	0.000247129764308813	8.47302049058789e-05	0.000367164221258808	0.000148277858585288	0.000437772725347041	0.000162399559402934	0.000331859969214692	0.000543685481479389	0.000268312315535283	0.000134156157767642	0.000381285922076455	0.000310677417988223	0.000134156157767642	0.000254190614717637	7.06085040882324e-06	0.000127095307358818	0.000183582110629404	0.000296555717170576	0.000254190614717637	2.8243401635293e-05	0.000190642961038227	0.000204764661855874	0.000120034456949995	0.000162399559402934	0.000204764661855874	0.000268312315535283	7.76693544970556e-05	0.000183582110629404	0.000127095307358818
TRAV21	0.00074138929292644	0.00048013782779998	0.000402468473302925	0.00106618841173231	7.06085040882324e-06	0.000847302049058789	0.000734328442517617	0.00127095307358818	0.000614293985567622	0.00177227345261463	0.00108737096295878	0.00136274412890289	0.00177227345261463	0.000550746331888213	0.000797876096197026	0.00252778444635872	0.000910849702738198	0.000684902489655854	0.00125683137277054	0.00111561436459407	0.000854362899467612	0.000854362899467612	0.000896728001920551	0.00139098753053818	0.00076257184415291	0.00204764661855874	0.000988519057235253	0.0017016649485264	0.00156044794034994	0.000889667151511728	0.000451894426164687	0.00163811729484699	0.00210413342182933	0.000755510993744087	0.00166636069648228	2.8243401635293e-05	0.000557807182297036	0.00117210116786466	0.00131331817604112	0.000917910553147021	0.000331859969214692	0.00112267521500289	0.00146865688503523	0.000416590174120571	0.000677841639247031	0.00177227345261463	0.000995579907644077	0.000543685481479389	0.000550746331888213	0.000677841639247031
TRAV22	0.000169460409811758	2.8243401635293e-05	4.94259528617627e-05	0.000211825512264697	0	0.000197703811447051	0.000112973606541172	0.000338920819623515	0.000134156157767642	0.000367164221258808	0.000134156157767642	0.00028243401635293	0.00028243401635293	7.76693544970556e-05	0.000148277858585288	0.000487198678208803	0.000134156157767642	0.000134156157767642	0.000381285922076455	0.000268312315535283	0.000155338708994111	0.000197703811447051	0.00021888636267352	0.000148277858585288	0.000134156157767642	0.000233008063491167	0.000162399559402934	0.000197703811447051	0.000233008063491167	0.000176521260220581	7.76693544970556e-05	0.000345981670032339	0.000367164221258808	0.000169460409811758	0.000437772725347041	7.06085040882324e-06	0.000148277858585288	0.000254190614717637	0.00026125146512646	0.000190642961038227	2.8243401635293e-05	0.000183582110629404	0.000254190614717637	8.47302049058789e-05	0.000120034456949995	0.000162399559402934	0.000197703811447051	8.47302049058789e-05	9.88519057235253e-05	0.000105912756132349
TRAV23/DV6	0.000197703811447051	0.000162399559402934	0.000105912756132349	0.000430711874938218	0	0.000275373165944106	0.000360103370849985	0.000374225071667632	0.000155338708994111	0.000444833575755864	0.000388346772485278	0.000663719938429384	0.000508381229435273	7.76693544970556e-05	0.000317738268397046	0.000804936946605849	0.000268312315535283	0.00021888636267352	0.000515442079844096	0.00045895527657351	0.000423651024529394	0.000296555717170576	0.000317738268397046	0.000473076977391157	0.000317738268397046	0.000727267592108794	0.000430711874938218	0.000593111434341152	0.000275373165944106	0.000430711874938218	0.000204764661855874	0.000593111434341152	0.00072020674169997	0.00024006891389999	0.000367164221258808	5.64868032705859e-05	0.000197703811447051	0.000416590174120571	0.00050132037902645	0.00024006891389999	4.94259528617627e-05	0.000296555717170576	0.000473076977391157	0.000134156157767642	9.17910553147021e-05	0.000197703811447051	0.000317738268397046	0.000120034456949995	0.000176521260220581	0.00026125146512646
