Insertions	P.ins.VD	P.ins.DJ
0	0.0270964774579305	0.0440942677451931
1	0.0522932018837551	0.0460940077789887
2	0.103386559747233	0.0971873656424665
3	0.124283843100397	0.117184765980423
4	0.147880775499185	0.136982192314999
5	0.10478637777089	0.11848459700239
6	0.0870886784717987	0.0950876386069811
7	0.0802895623568936	0.0753901992740944
8	0.0647915770949777	0.0612920320358353
9	0.0522932018837551	0.048693669822923
10	0.041894553708018	0.0390949176607041
11	0.0317958665373501	0.0298961135052443
12	0.0246967894173757	0.0244968154139962
13	0.0162978812754342	0.0171977642906422
14	0.0123983882095328	0.0134982452281203
15	0.00789897313349265	0.0102986611740474
16	0.0060992071030766	0.0060992071030766
17	0.00409946706928099	0.00519932408786858
18	0.00269964904562407	0.00389949306590143
19	0.00229970103886495	0.00259966204393429
20	0.00169977902872627	0.00199974003379561
21	0.000899883015208023	0.00139981802365692
22	0.000899883015208023	0.000999870016897803
23	0.000499935008448902	0.000799896013518243
24	0.000499935008448902	0.000399948006759121
25	0.000199974003379561	0.000399948006759121
26	0.000199974003379561	0.000399948006759121
27	0.000199974003379561	0.000299961005069341
28	9.99870016897803e-05	9.99870016897803e-05
29	0.000199974003379561	9.99870016897803e-05
30	0.000199974003379561	0.000299961005069341
31	9.99870016897803e-06	9.99870016897803e-06
32	9.99870016897803e-06	9.99870016897803e-06
33	9.99870016897803e-06	9.99870016897803e-06
34	0	0
35	0	0
36	0	0
37	0	0
38	0	0
39	0	0
40	0	0
41	0	0
42	0	0
43	0	0
44	0	0
45	0	0
46	0	0
47	0	0
48	0	0
49	0	0
50	0	0
51	0	0
52	0	0
53	0	0
