P.del.J	TRBJ1-1	TRBJ1-2	TRBJ1-3	TRBJ1-4	TRBJ1-5	TRBJ1-6	TRBJ2-1	TRBJ2-2	TRBJ2-3	TRBJ2-4	TRBJ2-5	TRBJ2-6	TRBJ2-7
0	0.119	0.0709	0.3276	0.1356	0.1696	0.1111	0.1267	0.095	0.1304	0.2919	0.0382	0.3964	0.1086
1	0.1937	0.0489	0.071	0.0245	0.0713	0.0232	0.0465	0.0771	0.1014	0.1345	0.0624	0.1275	0.0463
2	0.0657	0.0889	0.1361	0.0502	0.1279	0.0251	0.0615	0.1066	0.2381	0.0793	0.2007	0.1878	0.1335
3	0.1273	0.0816	0.0785	0.068	0.1025	0.0404	0.0813	0.123	0.0955	0.1428	0.1415	0.078	0.2113
4	0.1365	0.218	0.1664	0.1049	0.1115	0.0533	0.1449	0.161	0.1535	0.0452	0.1398	0.1316	0.1247
5	0.1167	0.1039	0.0739	0.1018	0.1218	0.0779	0.1274	0.1226	0.0989	0.0657	0.3019	0.0232	0.1063
6	0.0673	0.096	0.0253	0.0892	0.0976	0.0668	0.1159	0.1226	0.1056	0.0682	0.052	0.0219	0.0897
7	0.0561	0.0873	0.0299	0.1365	0.112	0.1635	0.1038	0.1291	0.0391	0.0479	0.0497	0.0063	0.1015
8	0.0277	0.147	0.0444	0.2165	0.021	0.1052	0.1362	0.0231	0.0257	0.0712	0.0014	0.0074	0.0083
9	0.0177	0.0186	0.0189	0.0044	0.0422	0.0863	0.0556	0.0175	0.0107	0.0471	0.0125	0.0061	0.0383
10	0.0295	0.017	0.0061	0.0423	0.0017	0.1224	0	0.0094	0.001	0.0039	0	0.0032	0.0317
11	0.0428	0.0219	0.0074	0.0148	0.0202	0.0223	0	0.0041	0	1e-04	0	0.0037	0
12	0	0	0.0021	0.0107	5e-04	0.0111	0	0.0047	0	0.0023	0	0.0045	0
13	0	0	0.0125	8e-04	0	0.0161	0	0.003	0	0	0	0.0018	0
14	0	0	0	0	0	0.0192	0	0.0011	0	0	0	7e-04	0
15	0	0	0	0	0	0.0098	0	0	0	0	0	0	0
16	0	0	0	0	0	0.0462	0	0	0	0	0	0	0
17	0	0	0	0	0	0	0	0	0	0	0	0	0
18	0	0	0	0	0	0	0	0	0	0	0	0	0
19	0	0	0	0	0	0	0	0	0	0	0	0	0
20	0	0	0	0	0	0	0	0	0	0	0	0	0
21	0	0	0	0	0	0	0	0	0	0	0	0	0
22	0	0	0	0	0	0	0	0	0	0	0	0	0
23	0	0	0	0	0	0	0	0	0	0	0	0	0
24	0	0	0	0	0	0	0	0	0	0	0	0	0
25	0	0	0	0	0	0	0	0	0	0	0	0	0
26	0	0	0	0	0	0	0	0	0	0	0	0	0
27	0	0	0	0	0	0	0	0	0	0	0	0	0
28	0	0	0	0	0	0	0	0	0	0	0	0	0
29	0	0	0	0	0	0	0	0	0	0	0	0	0
30	0	0	0	0	0	0	0	0	0	0	0	0	0
31	0	0	0	0	0	0	0	0	0	0	0	0	0
32	0	0	0	0	0	0	0	0	0	0	0	0	0
33	0	0	0	0	0	0	0	0	0	0	0	0	0
34	0	0	0	0	0	0	0	0	0	0	0	0	0
35	0	0	0	0	0	0	0	0	0	0	0	0	0
36	0	0	0	0	0	0	0	0	0	0	0	0	0
