P.del.V	TRBV2	TRBV3-1	TRBV4-1	TRBV5-1	TRBV6-1	TRBV7-1	TRBV4-2	TRBV6-2	TRBV4-3	TRBV6-3	TRBV7-2	TRBV6-4	TRBV7-3	TRBV9	TRBV10-1	TRBV11-1	TRBV10-2	TRBV11-2	TRBV6-5	TRBV7-4	TRBV5-4	TRBV6-6	TRBV5-5	TRBV6-7	TRBV7-6	TRBV5-6	TRBV7-7	TRBV7-8	TRBV5-8	TRBV7-9	TRBV13	TRBV10-3	TRBV11-3	TRBV12-3	TRBV12-4	TRBV12-5	TRBV14	TRBV15	TRBV16	TRBV18	TRBV19	TRBV20-1	TRBV23-1	TRBV24-1	TRBV25-1	TRBV27	TRBV28	TRBV29-1	TRBV30	TRBV21-1
0	0.0299	0.22	0.2091	0.1279	0.0328	0.0308	0.2062	0.0841	0.2061	0.0403	0.0209	0.1073	0.021	0.2369	0.0708	0.1234	0.0498	0.0932	0.1008	0.0113	0.1002	0.0582	0.1152	0.1008	0.0344	0.1	0.0297	0.0359	0.1053	0.0207	0.0227	0.0761	0.0752	0.0181	0.0109	0.1734	0.1744	0.1886	0.0938	0.0578	0.024	0.1291	0.148	0.0646	0.074	0.0231	0.0295	0.0562	0.1837	0.0299
1	0.0262	0.1957	0.1993	0.1379	0.038	0.2141	0.198	0.0222	0.1977	0.0067	0.1576	0.0365	0.1109	0.0651	0.0362	0.124	0.0399	0.122	0.0353	0.1131	0.1679	0.0113	0.1507	0.0284	0.1536	0.1621	0.1375	0.1504	0.1411	0.1296	0.0992	0.0227	0.1077	0.0368	0.0119	0.0435	0.1783	0.1838	0.1934	0.0992	0.0547	0.1098	0.0978	0.0747	0.1073	0.0569	0.0468	0.0483	0.0798	0.0262
2	0.0765	0.0664	0.0634	0.0749	0.1061	0.5214	0.0878	0.1254	0.0782	0.1093	0.1345	0.1252	0.1472	0.0793	0.0776	0.1165	0.0843	0.1085	0.1664	0.129	0.0956	0.1371	0.1068	0.1733	0.1379	0.0907	0.1354	0.124	0.1174	0.1273	0.1022	0.0688	0.0993	0.0669	0.0708	0.1845	0.0687	0.0739	0.1724	0.1571	0.0256	0.0707	0.0933	0.0695	0.0646	0.0799	0.0695	0.0587	0.149	0.0765
3	0.0971	0.1259	0.1122	0.1418	0.0792	0.151	0.1087	0.1459	0.1379	0.1509	0.0766	0.0936	0.0552	0.1781	0.11	0.0691	0.1068	0.0777	0.1654	0.0942	0.1407	0.1399	0.1455	0.1221	0.0698	0.1448	0.0709	0.0673	0.158	0.0846	0.059	0.09	0.0715	0.1476	0.1946	0.0733	0.1203	0.1305	0.0702	0.213	0.159	0.196	0.1508	0.113	0.1173	0.1156	0.1341	0.0839	0.1401	0.0971
4	0.1125	0.1747	0.1559	0.2641	0.0715	0.0827	0.2068	0.0862	0.1651	0.0875	0.1388	0.1073	0.1624	0.2217	0.1064	0.1302	0.1032	0.1166	0.0928	0.1485	0.2808	0.063	0.2799	0.0614	0.1301	0.2912	0.1359	0.1437	0.246	0.1394	0.149	0.1158	0.1419	0.0886	0.0383	0.0802	0.1687	0.0919	0.3054	0.1817	0.0762	0.0629	0.1564	0.1596	0.1234	0.0856	0.1161	0.1915	0.1558	0.1125
5	0.0767	0.0928	0.0936	0.0675	0.1497	0	0.0754	0.1222	0.0857	0.1173	0.301	0.0778	0.305	0.0445	0.0552	0.2305	0.0414	0.2962	0.0932	0.3134	0.0777	0.1136	0.0842	0.1325	0.2957	0.0727	0.2935	0.2864	0.0844	0.2968	0.3505	0.0447	0.2892	0.1708	0.2321	0.1405	0.1155	0.1422	0.0663	0.0798	0.1734	0.1538	0.0375	0.1113	0.1043	0.2017	0.1743	0.0841	0.1204	0.0767
6	0.1955	0.0454	0.0505	0.0583	0.2086	0	0.0428	0.1677	0.0367	0.18	0.0601	0.1508	0.0687	0.0718	0.1527	0.0898	0.1407	0.0646	0.1197	0.0644	0.0559	0.1348	0.0446	0.1428	0.0544	0.0645	0.0807	0.0775	0.048	0.0723	0.0691	0.1247	0.0646	0.1954	0.2983	0.118	0.0594	0.0372	0.0365	0.1215	0.0863	0.1964	0.0828	0.0474	0.0966	0.1257	0.1618	0.1735	0.0655	0.1955
7	0.1533	0.0372	0.0349	0.0639	0.1501	0	0.0247	0.1137	0.0272	0.1335	0.0497	0.1234	0.0522	0.0343	0.1413	0.0478	0.1552	0.052	0.0897	0.0588	0.0332	0.093	0.0362	0.0982	0.0496	0.0374	0.0516	0.0479	0.045	0.0535	0.0505	0.1563	0.0596	0.1423	0.081	0.0944	0.0381	0.0317	0.038	0.0175	0.1466	0.0477	0.0873	0.0685	0.1002	0.1175	0.1091	0.1747	0.0455	0.1533
8	0.0949	0.0159	0.0296	0.0184	0.0638	0	0.0234	0.0568	0.0301	0.0699	0.0282	0.0718	0.0308	0.0239	0.0982	0.0195	0.1005	0.0328	0.0525	0.032	0.0156	0.1241	0.0105	0.0549	0.033	0.0055	0.041	0.0289	0.015	0.0356	0.0457	0.1106	0.0389	0.0618	0.0204	0.0258	0.0331	0.0603	0.0165	0.0455	0.0554	0.0324	0.0722	0.0805	0.1072	0.0955	0.0565	0.1276	0.0597	0.0949
9	0.046	0.0117	0.0141	0.03	0.0296	0	0.0066	0.0223	0.0139	0.0277	0.0078	0.0381	0.0126	0.0271	0.0409	0.0114	0.055	0.0125	0.0263	0.0087	0.0148	0.0491	0.0117	0.024	0.0108	0.0171	0.0037	0.0131	0.0268	0.0123	0.0159	0.0201	0.0143	0.0274	0.0083	0.0235	0.0115	0.0217	0	0.0092	0.0836	5e-04	0.0206	0.0962	0.0534	0.0259	0.0367	0.0012	2e-04	0.046
